Uni_protein
P51508
Q6ZNI0
O94983
Q9P2E2
Q16099
Q96IC2
Q709C8
P62952
Q02325
Q9H7F4
Q9UIL1
Q9NZ43
P16870
Q9NZ94
Q14004
Q8IUC8
P53597
O60308
Q14656
Q96PV0
Q04721
Q9C040
Q9H2I8
Q5T0B9
Q9BPX5
P01019
P19801
Q9BXY8
Q9H5V7
Q5SZB4
Q96GE4
Q9HAS3
Q9UPM8
Q9BYP9
P54756
Q9UKK9
Q8TEM1
P49459
P10636
P28698
Q9UKW6
P07332
Q9HAQ2
O95876
Q8IVQ6
Q9Y597
Q9H4S2
Q712K3
Q969G9
Q9UKA9
Q6PEW0
Q9Y2J2
O95848
P54277
Q9H2F3
Q6PRD1
P32245
O95167
Q96EK9
Q92629
Q96JA3
Q9NPH6
P57082
Q86XF0
Q8N6U8
Q0P6H9
P55273
Q9H446
Q9H8Y5
O95628
Q01085
Q9UI26
O00487
P17029
Q86V24
P28907
P01764
P05120
Q969M2
P49146
Q9H0F6
A6NK44
P42331
Q13444
Q6UX98
P51677
O94864
O14773
P35913
P24310
P43235
Q9Y530
Q16787
P45985
P13798
Q8IZU8
Q9NTW7
Q14108
P19474
Q9NZI5
O60832
Q6R327
Q96S66
Q9BQE4
P51788
Q8NFC6
O43679
Q96LD4
P55795
Q6L9W6
Q66K64
Q4V326
Q99929
P20042
Q86TI2
Q9UHK0
O43345
O76061
Q8IUX7
P17038
Q7L590
Q8N682
Q96G27
O43657
P13611
Q8TDZ2
Q16663
P51582
Q9UHX1
Q9NQS7
A6NK02
A0JNW5
Q96NZ9
Q8N8N0
O60870
O43861
Q6VN20
Q99755
Q86UQ8
Q7Z7H8
Q86YT9
Q8IWT0
P26440
Q9BTE1
A8MXD5
P00750
Q9H209
Q6ZS10
P04437
Q86UT8
P10523
Q96NL0
Q5TB80
Q9Y375
P46934
Q9GZK3
O14593
Q9BVG3
Q5U5R9
Q14692
Q9Y691
A0A0B4J1V2
Q9NRG0
Q30KQ8
O15370
P10606
Q56P03
Q9BQD3
Q14774
P55285
O14529
P02814
Q02742
Q8WYA0
Q6YHK3
